Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm)
2014-01-01,986.5062237762239,2.1104195804195807,276.34132867132865,-2.1414685314685316,74.13342657342658,7.128741258741258,5.266713286713286,1.8625174825174824,3.326993006993007,5.338671328671328,1245.9438461538462,2.5004195804195803,3.8718881118881114,182.22573426573425,0.0,6.433566433566433,22.843566433566433,44.96034965034965,53.53804195804196,13.175314685314685,414.66643356643357
2014-01-02,978.9939583333334,3.6686805555555555,278.51520833333336,0.46090277777777783,80.13027777777778,8.096041666666666,6.342291666666666,1.7540972222222222,4.039652777777778,6.478680555555556,1229.0966666666668,2.2821527777777777,3.575833333333333,178.81173611111112,0.001388888888888889,20.97222222222222,78.17451388888888,141.86222222222221,150.77743055555555,14.655347222222222,418.0534722222222
2014-01-03,975.9072916666667,4.785972222222222,279.891875,-0.189375,72.84243055555555,8.950416666666666,6.037708333333333,2.912777777777778,3.8572222222222226,6.186736111111111,1220.5897222222222,1.4631944444444445,2.433263888888889,171.2659027777778,0.0,6.666666666666667,117.96895833333332,219.33694444444444,244.2111111111111,16.985625,419.6222222222222
2014-01-04,986.2027777777779,11.465625,285.75972222222225,5.411458333333333,69.28041666666667,14.244652777777778,9.016458333333333,5.227708333333333,5.7070138888888895,9.143402777777778,1203.285138888889,1.3711805555555554,2.221111111111111,126.60055555555556,0.0,0.0,169.65270833333335,318.8304861111111,340.44368055555555,23.021527777777777,418.8576388888889
2014-01-05,983.997986111111,12.317083333333334,286.7974305555556,9.840902777777778,85.19999999999999,14.426458333333333,12.21465277777778,2.2120833333333336,7.7579166666666675,12.413263888888888,1195.1590972222223,1.0675694444444443,1.7891666666666666,157.363125,0.06875,77.84722222222223,86.89625,174.62166666666667,219.8542361111111,23.317708333333332,429.16805555555555
2014-01-06,993.5734027777778,13.207847222222222,286.89694444444444,6.158194444444444,64.1725,15.616805555555556,9.509097222222222,6.107083333333333,5.975138888888889,9.571527777777778,1204.5170138888889,1.754375,3.0406250000000004,114.47173611111111,0.0,0.0,290.33451388888886,558.572638888889,695.348888888889,24.963402777777777,405.6965277777778
2014-01-07,991.6645833333334,15.259444444444446,289.11118055555556,7.416666666666667,63.68763888888889,17.867152777777775,10.395347222222222,7.47111111111111,6.5460416666666665,10.482222222222223,1193.24125,1.3269444444444445,2.6183333333333336,220.625625,0.0,0.0,268.4929861111111,526.6552083333333,699.575625,26.860694444444444,398.30277777777775
2014-01-08,986.7412499999999,20.221944444444446,294.50631944444444,12.438541666666667,64.22902777777777,24.62034722222222,14.493541666666667,10.127152777777777,9.1875,14.688333333333333,1165.4800694444446,1.4763194444444445,2.532916666666667,138.00104166666668,0.0,0.0,264.2551388888889,518.8254166666667,601.7318055555556,31.66201388888889,344.02430555555554
2014-01-09,991.5591666666666,14.571666666666667,288.4295138888889,11.016388888888889,79.77854166666667,16.738958333333333,13.16763888888889,3.571458333333333,8.301597222222222,13.279097222222223,1194.519513888889,2.0172222222222222,3.4496527777777777,231.9729861111111,0.0,0.0,104.63458333333332,215.21048611111112,291.01624999999996,24.709375,394.85833333333335
2014-01-10,1000.0186111111111,16.395,289.5547916666667,13.501180555555557,83.91576388888889,18.85194444444444,15.507430555555556,3.3443055555555556,9.702569444444444,15.507708333333333,1196.135277777778,0.8638888888888889,1.5291666666666666,153.74770833333335,0.0,0.0,121.42993055555556,237.54826388888887,290.3672222222222,27.953194444444446,443.3152777777778
